FEED_NAME,FEED_ADDRESS,FEED_CATEGORY,FEED_ADDED,CREATED_BLOCK_NUMBER
ENJ / ETH,0x24d9ab51950f3d62e9144fdc2f3135daa6ce8d1b,Cryptocurrency (ETH pairs),6-Jul-20,10606429
RSR / USD,0x759bbc1be8f90ee6457c44abc7d443842a976d02,Cryptocurrency (USD pairs),28-Sep-21,13309652
STMX / USD,0x00a773bd2ce922f866bb43ab876009fb959d7c29,Cryptocurrency (USD pairs),2-Jun-21,12555353
AMPL / ETH,0x492575fdd11a0fcf2c6c719867890a7648d526eb,Cryptocurrency (ETH pairs),10-Mar-21,11591627
LDO / ETH,0x4e844125952d32acdf339be976c98e22f6f318db,Cryptocurrency (ETH pairs),5-May-21,12376363
Azuki Floor Price,0xa8b9a447c73191744d5b79bce864f343455e1150,NFT Floor Prices (ETH pairs),14-Nov-22,15969422
Bored Ape Yacht Club Floor Price,0x352f2bc3039429fc2fe62004a1575ae74001cfce,NFT Floor Prices (ETH pairs),14-Nov-22,15969376
CloneX Floor Price,0x021264d59dabd26e7506ee7278407891bb8cdccc,NFT Floor Prices (ETH pairs),04-Nov-22,15896979
CoolCats Floor Price,0xf49f8f5b931b0e4b4246e4cca7cd2083997aa83d,NFT Floor Prices (ETH pairs),04-Nov-22,15896905
CryptoPunks Floor Price,0x01b6710b01cf3dd8ae64243097d91afb03728fdd,NFT Floor Prices (ETH pairs),14-Nov-22,15969331
Cryptoadz Floor Price,0xfaa8f6073845dbe5627daa3208f78a3043f99bca,NFT Floor Prices (ETH pairs),04-Nov-22,15896872
Doodles Floor Price,0x027828052840a43cc2d0187bcfa6e3d6ace60336,NFT Floor Prices (ETH pairs),04-Nov-22,15897058
MAYC Floor Price,0x1823c89715fe3fb96a24d11c917aca918894a090,NFT Floor Prices (ETH pairs),04-Nov-22,15896839
VeeFriends Floor Price,0x35bf6767577091e7f04707c0290b3f889e968307,NFT Floor Prices (ETH pairs),04-Nov-22,15896806
World of Women Floor Price,0xddf0b85c600daf9e308afed9f597aca212354764,NFT Floor Prices (ETH pairs),04-Nov-22,15896938
