POOL_ADDRESS,TOKEN_ADDRESS,TOKEN_INDEX,TOKEN_SYMBOL,TOKEN_DECIMALS,TOKEN_NAME,POOL_NAME,POOL_ID,_INSERTED_TIMESTAMP
0x50b0d9171160d6eb8aa39e090da51e7e078e81c4,0xeff721eae19885e17f5b80187d6527aad3ffc8de,0,,,,Curve.fi Pool: SNX ,0x50b0d9171160d6eb8aa39e090da51e7e078e81c40xeff721eae19885e17f5b80187d6527aad3ffc8de,2022-09-27T16:44:04Z
0xac5f019a302c4c8caac0a7f28183ac62e6e80034,0xef779cf3d260dbe6177b30ff08b10db591a6dd9c,0,kUSD,18,kUSD,Curve.fi Pool: kUSD-3Crv ,0xac5f019a302c4c8caac0a7f28183ac62e6e800340xef779cf3d260dbe6177b30ff08b10db591a6dd9c,2022-09-27T16:44:04Z
0x2b26239f52420d11420bc0982571bfe091417a7d,0xeed0c8d2da6d243329a6f4a8c2ac61a59ecbfa02,0,MIC2,18,MIC2,Curve.fi Pool: MIC2-3Crv ,0x2b26239f52420d11420bc0982571bfe091417a7d0xeed0c8d2da6d243329a6f4a8c2ac61a59ecbfa02,2022-09-27T16:44:04Z
0x0f8c89d3fb0b502732b338f1dfb3c465dc856c8e,0xeed0c8d2da6d243329a6f4a8c2ac61a59ecbfa02,0,MIC2,18,MIC2,Curve.fi Pool: MIC2-3Crv ,0x0f8c89d3fb0b502732b338f1dfb3c465dc856c8e0xeed0c8d2da6d243329a6f4a8c2ac61a59ecbfa02,2022-09-27T16:44:04Z
0xe7a3b38c39f97e977723bd1239c3470702568e7b,0xee586e7eaad39207f0549bc65f19e336942c992f,0,,,,Curve.fi Pool: agEUR-EUROC ,0xe7a3b38c39f97e977723bd1239c3470702568e7b0xee586e7eaad39207f0549bc65f19e336942c992f,2022-09-27T16:44:04Z
0xf70c5c65cf6a28e7a4483f52511e5a29678e4ffd,0xee586e7eaad39207f0549bc65f19e336942c992f,0,,,,Curve.fi Pool: agEUR-EUROC ,0xf70c5c65cf6a28e7a4483f52511e5a29678e4ffd0xee586e7eaad39207f0549bc65f19e336942c992f,2022-09-27T16:44:04Z
0xe75916b70c0e1c58bb605948066151ea449561f4,0xed86b7ce1924c6acef801edd87bda29e486a16ea,0,,,,Curve.fi Pool: 3Crv ,0xe75916b70c0e1c58bb605948066151ea449561f40xed86b7ce1924c6acef801edd87bda29e486a16ea,2022-09-27T16:44:04Z
0xee98d56f60a5905cbb52348c8719b247dafe60ec,0xed35af169af46a02ee13b9d79eb57d6d68c1749e,1,OMI,18,OMI Token,Curve.fi Pool: wOMI-OMI ,0xee98d56f60a5905cbb52348c8719b247dafe60ec0xed35af169af46a02ee13b9d79eb57d6d68c1749e,2022-09-27T16:44:04Z
0x8116e7c29f60fdacf3954891a038f845565ef5a0,0xed35af169af46a02ee13b9d79eb57d6d68c1749e,0,OMI,18,OMI Token,Curve.fi Pool: OMI-3Crv ,0x8116e7c29f60fdacf3954891a038f845565ef5a00xed35af169af46a02ee13b9d79eb57d6d68c1749e,2022-09-27T16:44:04Z
0x9735d6530b0609ba8340ecf61feacd922468c1e1,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,1,LUSD3CRV-f,18,Curve.fi Factory USD Metapool: Liquity,Curve.fi Pool: LUSD3CRV-f ,0x9735d6530b0609ba8340ecf61feacd922468c1e10xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,2022-10-04T10:20:01Z
0x141be5d90c27dc5c9199a57cb828ca3cbd2c2d94,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,1,LUSD3CRV-f,18,Curve.fi Factory USD Metapool: Liquity,Curve.fi Pool: LUSD3CRV-f ,0x141be5d90c27dc5c9199a57cb828ca3cbd2c2d940xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,2022-10-03T11:09:53Z
0xf4a3cca34470b5ba21e2bb1ed365acf68b4d4598,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,1,LUSD3CRV-f,18,Curve.fi Factory USD Metapool: Liquity,Curve.fi Pool: LUSD3CRV-f ,0xf4a3cca34470b5ba21e2bb1ed365acf68b4d45980xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,2022-10-03T11:09:53Z
0x74ed5d42203806c8cdcf2f04ca5f60dc777b901c,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,1,LUSD3CRV-f,18,Curve.fi Factory USD Metapool: Liquity,Curve.fi Pool: bLUSD-LUSD3CRV-f ,0x74ed5d42203806c8cdcf2f04ca5f60dc777b901c0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,2022-10-04T12:20:28Z
0x9a7168ea321121a8faf52147fc596b73e07ab8a3,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,1,LUSD3CRV-f,18,Curve.fi Factory USD Metapool: Liquity,Curve.fi Pool: LUSD3CRV-f ,0x9a7168ea321121a8faf52147fc596b73e07ab8a30xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,2022-10-04T10:20:01Z
