atoken_symbol,atoken_address,atoken_stable_debt_address,atoken_variable_debt_address,atoken_decimals,atoken_version,atoken_created_block,underlying_symbol,underlying_address,underlying_decimals,atoken_name,underlying_name
aLINK,0xa64bd6c70cb9051f6a9ba1f163fdc07e0dfb5f84,,,18,v1,9241091,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18,Aave Interest bearing LINK,ChainLink Token
aMANA,0x6fce4a401b6b80ace52baaefe4421bd188e76f6f,,,18,v1,9241110,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,18,Aave Interest bearing MANA,Decentraland MANA
aMKR,0x7deb5e830be29f91e298ba5ff1356bb7f8146998,,,18,v1,9241106,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,18,Aave Interest bearing MKR,Maker
aREN,0x69948cc03f478b95283f7dbf1ce764d0fc7ec54c,,,18,v1,10472062,REN,0x408e41876cccdc0f92210600ef50372656052a38,18,Aave Interest bearing REN,Republic Token
aREP,0x71010a9d003445ac60c4e6a7017c1e89a477b438,,,18,v1,9241100,REP,0x1985365e9f78359a9b6ad760e32412f4a445e862,0,Aave Interest bearing REP,Reputation
aSNX,0x328c4c80bc7aca0834db37e6600a6c49e12da4de,,,18,v1,9241118,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18,Aave Interest bearing SNX,Synthetix Network Token
aUNI,0xb124541127a0a657f056d9dd06188c4f1b0e5aab,,,18,v1,11132284,UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18,Aave Interest bearing Uniswap,Uniswap
aWBTC,0xfc4b8ed459e00e5400be803a9bb3954234fd50e3,,,8,v1,9241225,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,Aave Interest bearing WBTC,Wrapped BTC
aYFI,0x12e51e77daaa58aa0e9247db7510ea4b46f9bead,,,18,v1,10748286,YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,18,Aave Interest bearing YFI,yearn.finance
aZRX,0x6fb0855c404e09c47c3fbca25f08d4e41f9f062f,,,18,v1,9241114,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498,18,Aave Interest bearing ZRX,0x Protocol Token
aLEND,0x7d2d3688df45ce7c552e19c27e007673da9204b8,,,18,v1,9241081,LEND,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,18,Aave Interest bearing LEND,EthLend Token
aAmmWETH,0xf9fb4ad91812b704ba883b11d2b576e890a6730a,0x118ee405c6be8f9ba7cc7a98064eb5da462235cf,0xa4c273d9a0c1fe2674f0e845160d6232768a3064,18,amm,11998921,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Aave AMM Market WETH,Wrapped Ether
